n,p,lambda,rho,s,i,r,t,mu
10000,0.0005,2,3,9885,90,25,1.0302125918036937,4.994638340920612
10000,0.0005,2,3,9884,91,25,1.031022308402884,4.994739504299468
10000,0.0005,2,3,9883,92,25,1.0318121978183659,4.994435451234468
10000,0.0005,2,3,9882,93,25,1.0325832078414963,4.994131336638882
10000,0.0005,2,3,9881,94,25,1.0333278094796199,4.993523578222903
10000,0.0005,2,3,9881,94,25,1.0340663619168429,4.993624127111956
10000,0.0005,2,3,9880,95,25,1.034807651761172,4.9937253314435015
10000,0.0005,2,3,9880,95,25,1.0355402524937727,4.993724696356515
10000,0.0005,2,3,9880,95,25,1.0362755466114197,4.993825910931414
10000,0.0005,2,3,9879,96,25,1.0370135539914935,4.993927125506313
10000,0.0005,2,3,9878,97,25,1.03774029817754,4.993825285960201
10000,0.0005,2,3,9878,97,25,1.0384485134749906,4.993419720591164
10000,0.0005,2,3,9878,97,25,1.0391592455290062,4.993520955658991
10000,0.0005,2,3,9877,98,25,1.039872512290775,4.993622190726819
10000,0.0005,2,3,9877,98,25,1.040575252979461,4.993520299685932
10000,0.0005,2,3,9877,98,25,1.0412804715972326,4.993621545003336
10000,0.0005,2,3,9877,98,25,1.041988185680743,4.9937227903207395
10000,0.0005,2,3,9877,98,25,1.0426984129534702,4.993824035638144
10000,0.0005,2,3,9877,98,25,1.0434111713283811,4.993925280955548
10000,0.0005,2,3,9877,98,25,1.0441264789106415,4.994026526272952
10000,0.0005,2,3,9877,98,25,1.0448443540003758,4.994127771590356
10000,0.0005,2,3,9876,99,25,1.0455648150954766,4.99422901690776
10000,0.0005,2,3,9876,99,25,1.046279611378536,4.994329688132844
10000,0.0005,2,3,9876,99,25,1.0469969714933136,4.9944309437019
10000,0.0005,2,3,9876,98,26,1.0477169138979212,4.994532199270956
10000,0.0005,2,3,9875,99,26,1.0484399796969088,4.994532199270956
10000,0.0005,2,3,9874,100,26,1.0491599221015164,4.994734177215499
10000,0.0005,2,3,9873,101,26,1.0498716658737584,4.994733643913517
10000,0.0005,2,3,9873,101,26,1.050572928145848,4.994631824166721
10000,0.0005,2,3,9873,100,27,1.0512766579136172,4.994733110503193
10000,0.0005,2,3,9873,100,27,1.0519884016858592,4.994733110503193
10000,0.0005,2,3,9873,100,27,1.0527026874001448,4.994834396839667
10000,0.0005,2,3,9873,99,28,1.053419533278281,4.99493568317614
10000,0.0005,2,3,9873,99,28,1.0541473353161266,4.99493568317614
10000,0.0005,2,3,9873,99,28,1.0548777955060462,4.995036969512612
10000,0.0005,2,3,9873,99,28,1.0556109333359582,4.995138255849086
10000,0.0005,2,3,9873,99,28,1.0563467685088794,4.995239542185558
10000,0.0005,2,3,9873,99,28,1.0570853209461024,4.995340828522032
10000,0.0005,2,3,9873,99,28,1.0578266107904315,4.9954421148585055
10000,0.0005,2,3,9873,99,28,1.0585706584094792,4.995543401194979
10000,0.0005,2,3,9873,98,29,1.0593174843990236,4.995644687531452
