n,p,lambda,rho,s,i,r,t,mu,newmu
100000,5e-05,2,3,99918,74,8,0.7520017953448431,5.003072365725168,5
100000,5e-05,2,3,99918,74,8,0.7529736126431911,5.003072365725168,5
100000,5e-05,2,3,99917,75,8,0.7539501751431911,5.003072365725168,5
100000,5e-05,2,3,99917,75,8,0.7549117136047295,5.003072365725168,5
100000,5e-05,2,3,99917,75,8,0.7558778971796087,5.003072365725168,5
100000,5e-05,2,3,99916,76,8,0.7568487709660165,5.003032516990266,5
100000,5e-05,2,3,99916,76,8,0.7577824777820763,5.003032516990266,5
100000,5e-05,2,3,99916,76,8,0.7587205640860163,5.003032516990266,5
100000,5e-05,2,3,99916,76,8,0.7596630711548193,5.003032516990266,5
100000,5e-05,2,3,99916,75,9,0.7606100408517891,5.003032516990266,5
100000,5e-05,2,3,99915,76,9,0.76156242180417,5.003032516990266,5
100000,5e-05,2,3,99914,77,9,0.7625138965900882,5.003032516990266,5
100000,5e-05,2,3,99913,78,9,0.7634296475058391,5.003032516990266,5
100000,5e-05,2,3,99913,78,9,0.7643403943182252,5.003032516990266,5
100000,5e-05,2,3,99913,78,9,0.7652553074014823,5.003032516990266,5
100000,5e-05,2,3,99912,79,9,0.7661744250485412,5.003032638402033,5
100000,5e-05,2,3,99912,78,10,0.7670720911167638,5.003032638402033,5
100000,5e-05,2,3,99912,78,10,0.7679828379291499,5.003032638402033,5
100000,5e-05,2,3,99912,78,10,0.768897751012407,5.003032638402033,5
100000,5e-05,2,3,99912,78,10,0.7698168686594659,5.003032638402033,5
100000,5e-05,2,3,99912,78,10,0.7707402296936302,5.003032638402033,5
100000,5e-05,2,3,99912,78,10,0.7716678734784168,5.003032638402033,5
100000,5e-05,2,3,99912,78,10,0.7725998399276246,5.003032638402033,5
100000,5e-05,2,3,99912,78,10,0.7735361695156395,5.003032638402033,5
100000,5e-05,2,3,99912,78,10,0.7744769032879819,5.003032638402033,5
100000,5e-05,2,3,99911,79,10,0.7754220828721029,5.003092721599775,5
100000,5e-05,2,3,99910,80,10,0.7763708494755185,5.003092721599775,5
100000,5e-05,2,3,99910,80,10,0.777301082033658,5.003092721599775,5
100000,5e-05,2,3,99909,81,10,0.7782356614729103,5.003092721599775,5
100000,5e-05,2,3,99908,82,10,0.7791480702320345,5.003092721599775,5
100000,5e-05,2,3,99908,82,10,0.7800514125987915,5.003092721599775,5
100000,5e-05,2,3,99908,82,10,0.7809588536151254,5.003092721599775,5
100000,5e-05,2,3,99908,82,10,0.7818704306433842,5.003092721599775,5
100000,5e-05,2,3,99907,83,10,0.7827861815591352,5.003092721599775,5
100000,5e-05,2,3,99907,83,10,0.783684654155721,5.003092721599775,5
100000,5e-05,2,3,99907,83,10,0.7845871812315333,5.003152932225515,5
100000,5e-05,2,3,99906,84,10,0.7854937995452232,5.003152932225515,5
100000,5e-05,2,3,99906,84,10,0.7863955128004081,5.003152932225515,5
100000,5e-05,2,3,99906,84,10,0.7873013099018573,5.003152932225515,5
100000,5e-05,2,3,99906,83,11,0.7882112280092276,5.003152932225515,5
100000,5e-05,2,3,99906,82,12,0.789134589043392,5.003152932225515,5
100000,5e-05,2,3,99906,82,12,0.7900588034611369,5.003152932225515,5
100000,5e-05,2,3,99905,83,12,0.790987308567915,5.003152932225515,5
100000,5e-05,2,3,99905,83,12,0.7919022216511721,5.003152932225515,5
100000,5e-05,2,3,99905,83,12,0.792821339298231,5.003152932225515,5
100000,5e-05,2,3,99904,84,12,0.7937447003323953,5.003233071419662,5
100000,5e-05,2,3,99903,85,12,0.7946504974338445,5.003233071419662,5
100000,5e-05,2,3,99902,86,12,0.795531554702567,5.003233071419662,5.898989898989899
100000,5e-05,2,3,99902,86,12,0.7964003644332359,5.003233071419662,5.898989898989899
100000,5e-05,2,3,99901,87,12,0.797272964782276,5.003233071419662,5.898989898989899
100000,5e-05,2,3,99901,87,12,0.7981410203378316,5.003233071419662,5.898989898989899
100000,5e-05,2,3,99901,87,12,0.7990128599193487,5.003233071419662,5.898989898989899
100000,5e-05,2,3,99901,86,13,0.7998885166619056,5.003233071419662,5.898989898989899
100000,5e-05,2,3,99900,87,13,0.8007687983520465,5.003233071419662,5.898989898989899
100000,5e-05,2,3,99900,87,13,0.8016406379335635,5.003233071419662,5.898989898989899
100000,5e-05,2,3,99899,88,13,0.8025162946761205,5.0032632632652145,5.898989898989899
100000,5e-05,2,3,99899,88,13,0.8033835973647588,5.0032632632652145,5.898989898989899
100000,5e-05,2,3,99898,89,13,0.8042546775041317,5.0032632632652145,5.898989898989899
100000,5e-05,2,3,99898,89,13,0.8051137840333413,5.0032632632652145,5.898989898989899
100000,5e-05,2,3,99897,90,13,0.8059765968029703,5.0032632632652145,5.898989898989899
100000,5e-05,2,3,99897,90,13,0.8068099301363036,5.0032632632652145,5.898989898989899
100000,5e-05,2,3,99897,90,13,0.8076467502199857,5.0032632632652145,5.898989898989899
100000,5e-05,2,3,99897,90,13,0.8084870863544394,5.0032632632652145,5.898989898989899
100000,5e-05,2,3,99897,90,13,0.8093309682109795,5.0032632632652145,5.898989898989899
100000,5e-05,2,3,99897,90,13,0.8101784258380982,5.0032632632652145,5.898989898989899
100000,5e-05,2,3,99896,91,13,0.8110294896678855,5.003293392194619,5.898989898989899
100000,5e-05,2,3,99896,91,13,0.8118451503530404,5.003293392194619,5.898989898989899
100000,5e-05,2,3,99895,92,13,0.8126641511720412,5.003293392194619,5.898989898989899
100000,5e-05,2,3,99895,92,13,0.8134758394837295,5.003293392194619,5.898989898989899
100000,5e-05,2,3,99895,92,13,0.8142908354087498,5.003293392194619,5.898989898989899
100000,5e-05,2,3,99895,92,13,0.8151091660143145,5.003293392194619,5.898989898989899
100000,5e-05,2,3,99895,92,13,0.8159308587012496,5.003293392194619,5.898989898989899
100000,5e-05,2,3,99895,92,13,0.8167559412095005,5.003293392194619,5.898989898989899
100000,5e-05,2,3,99894,93,13,0.8175844416237507,5.003293392194619,5.898989898989899
100000,5e-05,2,3,99894,93,13,0.8184021031118945,5.003293392194619,5.898989898989899
100000,5e-05,2,3,99893,94,13,0.819223121174292,5.0033035017136,5.898989898989899
100000,5e-05,2,3,99892,95,13,0.8200269796951923,5.0033035017136,5.898989898989899
100000,5e-05,2,3,99892,94,14,0.8208237924441963,5.0033035017136,5.898989898989899
100000,5e-05,2,3,99892,94,14,0.8216341652156712,5.0033035017136,5.898989898989899
100000,5e-05,2,3,99892,93,15,0.8224478348657933,5.0033035017136,5.898989898989899
100000,5e-05,2,3,99892,93,15,0.8232654963539372,5.0033035017136,5.898989898989899
100000,5e-05,2,3,99892,93,15,0.8240865144163346,5.0033035017136,5.898989898989899
100000,5e-05,2,3,99892,93,15,0.8249109167246611,5.0033035017136,5.898989898989899
100000,5e-05,2,3,99892,93,15,0.8257387312941975,5.0033035017136,5.898989898989899
100000,5e-05,2,3,99892,93,15,0.8265699864895425,5.0033035017136,5.898989898989899
100000,5e-05,2,3,99892,93,15,0.827404711030444,5.003353621910899,5.898989898989899
100000,5e-05,2,3,99892,93,15,0.8282429339977533,5.003353621910899,5.898989898989899
100000,5e-05,2,3,99892,93,15,0.8290846848395041,5.003353621910899,5.898989898989899
100000,5e-05,2,3,99892,93,15,0.8299299933771204,5.003353621910899,5.898989898989899
100000,5e-05,2,3,99892,93,15,0.8307788898117553,5.003353621910899,5.898989898989899
100000,5e-05,2,3,99892,93,15,0.8316314047307664,5.003353621910899,5.898989898989899
100000,5e-05,2,3,99891,94,15,0.832487569114328,5.003353621910899,5.898989898989899
