n,p,lambda,rho,S
100000,5e-05,7.7,4,0.01021
100000,5e-05,9.2,4,0.00962
100000,5e-05,6.0,4,0.01208
100000,5e-05,9.2,4,0.0096
100000,5e-05,9.7,4,0.00947
100000,5e-05,4.6,4,0.01567
100000,5e-05,4.3,4,0.01664
100000,5e-05,2.7,4,0.03144
100000,5e-05,9.7,4,0.00989
100000,5e-05,0.5,4,0.99999
100000,5e-05,5.4,4,0.01314
100000,5e-05,8.0,4,0.01082
100000,5e-05,8.5,4,0.01008
100000,5e-05,7.9,4,0.01051
100000,5e-05,4.6,4,0.01533
100000,5e-05,0.9,4,0.99999
100000,5e-05,0.3,4,0.99999
100000,5e-05,0.9,4,0.99996
100000,5e-05,6.3,4,0.01139
100000,5e-05,5.5,4,0.01266
100000,5e-05,9.9,4,0.00928
100000,5e-05,0.8,4,0.99999
100000,5e-05,1.1,4,0.99946
100000,5e-05,1.5,4,0.99997
100000,5e-05,7.8,4,0.01134
100000,5e-05,6.5,4,0.01178
100000,5e-05,7.5,4,0.01112
100000,5e-05,1.8,4,0.07381
100000,5e-05,6.8,4,0.01219
100000,5e-05,5.0,4,0.01473
100000,5e-05,7.4,4,0.01091
100000,5e-05,3.8,4,0.99995
100000,5e-05,3.6,4,0.99999
100000,5e-05,6.2,4,0.01231
100000,5e-05,0.9,4,0.99999
100000,5e-05,6.0,4,0.01275
100000,5e-05,5.0,4,0.01538
100000,5e-05,0.2,4,0.99999
100000,5e-05,0.4,4,0.99999
100000,5e-05,2.6,4,0.99999
100000,5e-05,0.8,4,0.99999
100000,5e-05,0.0,4,0.99999
100000,5e-05,3.4,4,0.02333
100000,5e-05,4.2,4,0.01704
100000,5e-05,3.8,4,0.01866
100000,5e-05,9.5,4,0.01017
100000,5e-05,7.6,4,0.99999
100000,5e-05,2.5,4,0.03661
100000,5e-05,7.0,4,0.99999
100000,5e-05,5.9,4,0.01212
100000,5e-05,5.7,4,0.01339
100000,5e-05,5.4,4,0.99999
100000,5e-05,0.1,4,0.99999
100000,5e-05,1.8,4,0.07246
100000,5e-05,6.1,4,0.01268
100000,5e-05,7.8,4,0.0107
100000,5e-05,8.6,4,0.00986
100000,5e-05,9.9,4,0.00954
100000,5e-05,5.3,4,0.01348
100000,5e-05,6.3,4,0.01221
100000,5e-05,6.5,4,0.0117
100000,5e-05,2.2,4,0.99997
