S,I,R,mu,t
0.5037586537217814,0.3561175119062199,0.14012383437199905,5.5619134725767285,2.72
0.4956525029976732,0.36066248751126584,0.14368500949106122,5.568038787940193,2.73
0.4876221428023336,0.3650862228314928,0.1472916343661739,5.574009190136382,2.74
0.4796734202463823,0.36938408315912924,0.15094249659448883,5.579823149824294,2.75
0.4718118974592865,0.3735517651146336,0.15463633742608013,5.5854795951097405,2.76
0.4640428374778307,0.37758530744494345,0.15837185507722645,5.590977897506729,2.77
0.4563711923064119,0.3814810995419127,0.1621477081516759,5.596317855496931,2.78
0.44880159317695617,0.3852358876759492,0.165962519147095,5.601499675966918,2.79
0.44133834300998265,0.3888467789661632,0.1698148780238545,5.606523953814741,2.8
0.4339854110532419,0.3923112431332424,0.17370334581351612,5.611391650023821,2.81
0.426746429650761,0.39562711210439105,0.17762645824484855,5.616104068503165,2.82
0.4196246930734491,0.3987925775606589,0.18158272936589245,5.620662831989087,2.83
0.41262315832291896,0.4018061865355823,0.18557065514149904,5.6250698572951885,2.84
0.40574444780308894,0.4046668351900568,0.18958871700685487,5.629327330185011,2.85
0.39899085373961113,0.40737376090163385,0.1936353853587554,5.633437680125969,2.86
0.3923643442153031,0.4099265328169253,0.19770912296777177,5.637403555164594,2.87
0.3858665706805462,0.41232504102351303,0.201808388295941,5.641227797142331,2.88
0.37949887679105637,0.414569484502768,0.20593163870617612,5.644913417448752,2.89
0.3732623084213963,0.4166603580274001,0.2100773335512038,5.648463573485727,2.9
0.36715762470096563,0.4185984381675569,0.2142439371314778,5.651881545992233,2.91
0.36118530991978637,0.42038476856706053,0.21842992151315335,5.6551707173557695,2.92
0.3553455861540166,0.4220206446471597,0.22263376919882394,5.658334551013048,2.93
0.34963842646549115,0.4235075978892134,0.22685397564529555,5.661376572020238,2.94
0.3440635685355272,0.4248473798402851,0.23108905162418766,5.66430034885184,2.95
0.338620528600439,0.4260419459769706,0.2353375254225905,5.667109476467462,2.96
0.333308615564473,0.4270934395531669,0.23959794488236022,5.669807560667639,2.97
0.3281269451749361,0.4280041755471721,0.24386887927789186,5.672398203743411,2.98
0.32307445415392233,0.42877662481271417,0.24814892103336358,5.674884991409784,2.99
0.3181499141910416,0.4294133985274678,0.2524366872814907,5.677271481000484,3.0
0.31335194571171004,0.42991723302152457,0.25673082126676544,5.67956119089047,3.01
0.30867903134570757,0.4302909750573118,0.2610299935969807,5.681757591103567,3.02
0.30412952903068696,0.4305375676217592,0.26533290334755383,5.683864095055125,3.03
0.2997016846950075,0.430660036281221,0.2696382790237714,5.685884052373773,3.04
0.2953936444735439,0.43066147613987255,0.2739448793865836,5.687820742741932,3.05
0.29120346641891237,0.43054503943310535,0.27825149414798234,5.689677370691759,3.06
0.28712913167879045,0.4303139237788962,0.2825569445423134,5.6914570612912705,3.07
0.2831685551176287,0.4299713611022689,0.28686008378010236,5.693162856654701,3.08
0.2793195953680469,0.42952060724082797,0.291159797391125,5.6947977132111935,3.09
0.27558006430354204,0.4289649322329247,0.2954550034635333,5.696364499666899,3.1
0.2719477359298164,0.4283076112843211,0.29974465278586254,5.697865995597104,3.11
0.2684203546970744,0.4275519164042198,0.3040277288987058,5.699304890607112,3.12
0.2649956432400365,0.4267011086972156,0.308303248062748,5.700683784003162,3.13
0.2616713095562271,0.4257584312940529,0.31257025914972014,5.70200518491749,3.14
0.25844505363632614,0.4247271029010133,0.3168278434626607,5.703271512834776,3.15
0.2553145735630662,0.4236103119452631,0.3210751144916708,5.704485098470438,3.16
0.2522775710973602,0.4224112112915166,0.3253112176111234,5.705648184954601,3.17
0.24933175677208597,0.4211329135038756,0.3295353297240386,5.706762929278927,3.18
0.2464748545152841,0.4197784866256386,0.33374665885907734,5.707831403966849,3.19
0.24370460582547587,0.4183509504491905,0.3379444437253338,5.708855598931036,3.2
0.24101877352243373,0.41685327324774074,0.34212795322982564,5.7098374234851255,3.21
0.2384151450970632,0.4152883689406338,0.34629648596230306,5.710778708479812,3.22
0.2358915356841237,0.41365909466416706,0.3504493696517094,5.711681208536343,3.23
0.2334457906813677,0.4119682487202814,0.35458596059835107,5.712546604353231,3.24
0.2310757880383392,0.4102185688761071,0.3587056430855539,5.713376505064609,3.25
0.2287794402375723,0.40841273098811287,0.362807828774315,5.714172450631118,3.26
0.22655469599030723,0.40655334792549686,0.3668919560841961,5.7149359142464595,3.27
0.2243995416681048,0.40464296876844436,0.3709574895634511,5.715668304744877,3.28
0.22231200249092847,0.4026840782579362,0.3750039192511355,5.716370968996737,3.29
0.22029014349138293,0.4006790964749024,0.3790307600337149,5.717045194281152,3.3
0.2183320702738772,0.3986303787276591,0.3830375509984639,5.717692210626228,3.31
0.21643592958652935,0.3965402156277303,0.3870238547857405,5.718313193108926,3.32
0.21459990972266277,0.39441083333531957,0.39098925694201775,5.718909264107889,3.33
0.21282224076777279,0.39224439395685634,0.394933365275371,5.719481495503744,3.34
0.21110119470687994,0.39004299607818066,0.3988558092149395,5.72003091082246,3.35
0.20943508540623357,0.38780867541804526,0.40275623917572134,5.720558487318278,3.36
0.20782226848240157,0.38554340558769684,0.40663432592990184,5.721065157993559,3.37
0.20626114107087817,0.3832490989433432,0.4104897599857788,5.7215518135536385,3.38
0.20475014150547113,0.38092760751931687,0.41432225097521225,5.722019304295416,3.39
0.20328774891888854,0.3785807240307063,0.4181315270504054,5.722468441928975,3.4
